second25,ms26,D,CPM,Vr,valid
20,683,0,100,8297,1
21,739,1491,55,427,1
22,267,2293,115,394,1
22,763,2546,115,481,1
23,307,2416,117,421,1
23,843,2426,113,413,1
24,363,2555,111,428,1
24,883,2574,117,456,1
25,387,2586,119,464,1
25,891,2585,120,435,1
26,387,2418,122,400,1
26,851,2325,127,394,1
27,332,2295,125,400,1
27,804,2286,127,400,1
28,300,2227,120,379,1
28,788,2307,120,397,1
29,284,2332,122,435,1
29,756,2352,125,426,1
30,244,2381,122,400,1
30,732,2398,122,411,1
31,228,2311,122,402,1
31,716,2366,120,425,1
32,220,2402,119,404,1
32,724,2345,120,394,1
33,220,2422,117,409,1
33,724,2408,119,399,1
34,244,2439,117,393,1
34,756,2474,117,443,1
35,252,2489,119,449,1
35,772,2518,117,439,1
36,285,2459,119,405,1
36,789,2494,117,418,1
37,301,2482,117,424,1
37,797,2423,120,369,1
38,317,2482,115,419,1
38,829,2502,117,424,1
39,333,2528,119,421,1
39,845,2553,117,434,1
40,349,2532,119,410,1
40,853,2510,119,416,1
41,365,2591,115,434,1
41,877,2560,119,429,1
42,373,2480,120,408,1
42,869,2418,122,385,1
43,357,2379,120,397,1
43,861,2370,119,396,1
44,357,2343,120,419,1
44,845,2364,122,421,1
45,342,2378,120,407,1
45,830,2349,122,401,1
46,334,2343,120,388,1
46,822,2352,120,417,1
47,310,2289,122,376,1
47,814,2318,119,368,1
48,318,2325,119,382,1
48,814,2279,122,374,1
49,310,2261,119,368,1
49,814,2249,117,357,1
50,334,2274,115,362,1
50,846,2321,117,370,1
51,358,2279,120,395,1
51,854,2282,119,384,1
52,366,2276,117,373,1
52,862,2219,120,371,1
53,358,2222,122,367,1
53,846,2269,120,370,1
54,335,2181,122,363,1
54,823,2156,122,356,1
55,319,2244,119,368,1
55,823,2284,117,361,1
56,327,2280,122,410,1
56,831,2270,119,378,1
57,319,2261,122,369,1
57,815,2349,119,374,1
58,327,2297,119,389,1
58,823,2212,120,358,1
59,311,2194,122,360,1
59,823,2175,117,356,1
60,319,2201,120,360,1
60,815,2156,122,315,1
61,311,2146,119,343,1
61,807,2245,119,396,1
62,303,2300,120,378,1
62,807,2381,117,387,1
63,320,2317,120,392,1
63,824,2349,119,388,1
64,328,2309,119,392,1
64,832,2273,119,385,1
65,328,2298,120,380,1
65,816,2331,122,380,1
66,320,2251,120,366,1
66,808,2268,122,374,1
67,288,2296,120,388,1
67,792,2244,120,378,1
68,304,2285,117,379,1
68,800,2305,119,381,1
69,312,2413,117,424,1
69,816,2303,122,389,1
70,312,2267,120,398,1
70,792,2291,120,378,1
71,280,2320,125,413,1
71,776,2270,120,399,1
72,273,2309,120,399,1
72,785,2290,117,387,1
73,281,2180,120,342,1
73,785,2159,119,360,1
74,289,2200,119,370,1
74,785,2228,120,379,1
75,289,2169,119,343,1
75,777,2214,120,352,1
76,273,2274,120,388,1
76,785,2332,119,406,1
77,289,2341,119,400,1
