Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
5,688,0.796,100,142,Valid
6,128,0.801,125,89,Valid
6,649,0.781,120,87,Valid
7,73,0.817,131,112,Valid
7,561,0.771,133,100,Valid
8,41,0.729,127,94,Valid
8,497,0.753,127,101,Valid
8,961,0.751,131,94,Valid
9,401,0.76,133,104,Valid
9,873,0.671,138,93,Valid
10,281,0.713,131,98,Valid
10,769,0.786,122,118,Valid
11,209,0.741,144,131,Valid
11,681,0.757,129,95,Valid
12,121,0.828,125,107,Valid
12,601,0.796,129,112,Valid
13,81,0.749,129,102,Valid
13,537,0.792,127,115,Valid
14,9,0.792,127,129,Valid
14,457,0.73,141,104,Valid
14,905,0.769,127,91,Valid
15,346,0.806,136,112,Valid
15,826,0.874,125,127,Valid
16,290,0.784,133,135,Valid
16,754,0.774,129,108,Valid
17,194,0.811,133,109,Valid
17,650,0.77,131,115,Valid
18,106,0.805,129,123,Valid
18,578,0.774,129,105,Valid
19,26,0.71,136,104,Valid
19,474,0.686,136,92,Valid
19,922,0.792,122,115,Valid
20,386,0.681,138,107,Valid
20,850,0.659,129,101,Valid
21,354,0.627,122,76,Valid
21,810,0.632,127,84,Valid
22,282,0.598,127,77,Valid
22,706,0.605,138,86,Valid
23,546,0.807,66,168,Valid
24,2,0.701,147,188,Valid
24,483,0.703,129,163,Valid
24,971,0.727,125,109,Valid
25,379,0.86,133,112,Valid
25,819,0.982,133,177,Valid
26,331,0.838,129,152,Valid
26,771,0.839,131,146,Valid
27,211,0.921,131,160,Valid
27,699,0.918,125,160,Valid
28,171,0.893,125,156,Valid
28,643,0.873,131,165,Valid
29,123,0.878,125,157,Valid
29,595,0.944,122,160,Valid
30,43,0.904,136,160,Valid
30,523,0.917,125,171,Valid
30,979,0.914,131,162,Valid
31,467,0.895,122,156,Valid
31,939,0.86,127,142,Valid
32,395,0.887,129,162,Valid
32,915,0.868,117,142,Valid
33,380,0.873,125,161,Valid
33,876,0.838,125,138,Valid
34,372,0.847,117,161,Valid
34,836,0.929,131,161,Valid
35,324,0.882,127,151,Valid
35,764,0.912,129,146,Valid
36,260,0.855,127,147,Valid
36,724,0.855,127,127,Valid
37,196,0.871,127,131,Valid
37,676,0.862,125,133,Valid
38,132,0.862,129,137,Valid
38,644,0.819,119,119,Valid
39,116,0.889,122,148,Valid
39,604,0.825,131,130,Valid
40,84,0.875,119,138,Valid
40,548,0.795,136,109,Valid
40,988,0.822,125,127,Valid
41,484,0.799,127,135,Valid
41,940,0.815,131,121,Valid
42,453,0.782,119,120,Valid
42,901,0.749,133,130,Valid
43,365,0.751,131,119,Valid
43,829,0.763,125,121,Valid
44,285,0.795,127,132,Valid
44,789,0.731,129,100,Valid
45,213,0.734,131,113,Valid
45,693,0.718,129,115,Valid
46,157,0.683,129,119,Valid
46,637,0.7,125,116,Valid
47,85,0.739,133,122,Valid
47,541,0.769,129,119,Valid
48,21,0.746,125,114,Valid
48,485,0.707,131,114,Valid
48,933,0.797,127,135,Valid
49,429,0.724,129,130,Valid
49,869,0.735,133,116,Valid
50,341,0.786,122,115,Valid
50,797,0.817,131,130,Valid
51,270,0.766,133,114,Valid
51,718,0.842,125,145,Valid
52,230,0.752,127,125,Valid
52,670,0.758,129,122,Valid
53,150,0.756,127,112,Valid
53,622,0.815,122,131,Valid
54,118,0.749,127,119,Valid
54,582,0.703,127,109,Valid
55,6,0.736,136,152,Valid
55,526,0.682,127,119,Valid
55,982,0.753,120,105,Valid
56,438,0.82,127,125,Valid
56,918,0.801,129,111,Valid
57,382,0.799,127,139,Valid
57,886,0.694,131,119,Valid
58,310,0.767,127,120,Valid
58,790,0.753,129,120,Valid
59,246,0.775,127,115,Valid
59,686,0.762,133,136,Valid
60,199,0.704,125,117,Valid
60,671,0.709,129,110,Valid
61,103,0.758,129,119,Valid
61,575,0.762,129,131,Valid
62,39,0.728,133,122,Valid
62,495,0.745,129,131,Valid
62,951,0.713,133,122,Valid
63,423,0.692,129,112,Valid
63,847,0.839,122,155,Valid
64,791,0.745,68,127,Valid
65,207,0.78,131,105,Valid
65,671,0.822,127,136,Valid
66,143,0.736,136,117,Valid
66,599,0.713,125,129,Valid
67,79,0.665,136,108,Valid
67,519,0.681,129,95,Valid
67,967,0.682,129,105,Valid
68,439,0.706,129,122,Valid
68,943,0.67,122,110,Valid
69,399,0.737,125,129,Valid
69,879,0.683,131,121,Valid
70,336,0.692,129,118,Valid
70,800,0.728,127,133,Valid
71,288,0.723,122,116,Valid
71,728,0.711,136,141,Valid
72,216,0.675,127,125,Valid
72,680,0.682,127,108,Valid
73,144,0.692,127,122,Valid
73,600,0.678,133,121,Valid
74,40,0.67,136,129,Valid
74,496,0.664,133,119,Valid
74,912,0.681,136,125,Valid
75,376,0.642,136,135,Valid
75,840,0.715,122,111,Valid
76,288,0.708,138,124,Valid
76,752,0.713,129,117,Valid
77,208,0.709,131,129,Valid
77,648,0.718,133,130,Valid
78,104,0.678,138,125,Valid
78,552,0.683,131,110,Valid
79,0,0.674,133,116,Valid
79,425,0.687,136,116,Valid
79,889,0.669,131,125,Valid
80,345,0.687,131,129,Valid
80,809,0.713,127,138,Valid
81,265,0.721,133,133,Valid
81,737,0.753,127,126,Valid
82,201,0.776,127,137,Valid
82,697,0.716,125,125,Valid
83,153,0.74,125,131,Valid
83,617,0.716,136,140,Valid
84,97,0.711,125,118,Valid
84,585,0.694,117,105,Valid
85,65,0.629,131,135,Valid
85,545,0.683,119,105,Valid
86,1,0.702,129,121,Valid
86,482,0.642,133,122,Valid
86,906,0.747,131,146,Valid
87,401,0.679,133,121,Valid
87,825,0.672,136,122,Valid
88,290,0.679,127,108,Valid
88,762,0.629,129,94,Valid
89,202,0.699,129,125,Valid
89,754,0.61,117,112,Valid
90,178,0.632,133,115,Valid
90,626,0.608,138,105,Valid
91,90,0.582,125,102,Valid
91,538,0.612,131,114,Valid
92,474,0.564,66,100,Valid
92,914,0.574,129,105,Valid
93,354,0.598,133,139,Valid
94,306,0.614,64,111,Valid
94,754,0.713,127,115,Valid
95,211,0.688,131,112,Valid
95,675,0.633,138,112,Valid
96,146,0.618,127,118,Valid
96,602,0.674,125,121,Valid
97,98,0.655,122,95,Valid
97,539,0.691,131,135,Valid
98,19,0.683,129,116,Valid
98,467,0.674,131,124,Valid
98,947,0.633,131,107,Valid
99,411,0.637,125,124,Valid
99,859,0.642,129,116,Valid
100,331,0.642,129,113,Valid
100,787,0.614,138,109,Valid
101,267,0.582,125,94,Valid
101,699,0.63,133,107,Valid
102,179,0.657,122,114,Valid
102,667,0.621,127,108,Valid
103,99,0.67,131,134,Valid
103,587,0.615,133,123,Valid
104,19,0.606,138,109,Valid
104,435,0.628,138,96,Valid
104,891,0.688,127,126,Valid
105,371,0.706,125,146,Valid
105,867,0.794,117,142,Valid
106,803,0.679,67,133,Valid
107,252,0.646,127,93,Valid
107,716,0.698,122,104,Valid
108,236,0.642,120,122,Valid
108,708,0.601,131,114,Valid
109,172,0.588,131,112,Valid
109,636,0.604,125,100,Valid
110,68,0.638,136,129,Valid
110,500,0.614,141,107,Valid
110,988,0.613,120,105,Valid
111,436,0.608,136,109,Valid
111,900,0.606,131,111,Valid
112,316,0.734,125,149,Valid
113,324,0.665,64,119,Valid
113,748,0.673,127,92,Valid
114,196,0.769,127,137,Valid
115,588,0.71,44,131,Valid
116,20,0.703,131,109,Valid
116,469,0.664,133,113,Valid
116,925,0.676,133,139,Valid
117,373,0.598,144,106,Valid
117,781,0.595,147,111,Valid
118,237,0.601,129,98,Valid
118,717,0.611,125,104,Valid
119,125,0.658,136,127,Valid
119,613,0.582,138,107,Valid
120,533,0.663,61,122,Valid
120,965,0.652,136,128,Valid
121,925,0.631,64,132,Valid
122,333,0.713,127,151,Valid
122,829,0.693,136,150,Valid
123,277,0.744,131,120,Valid
123,733,0.771,122,137,Valid
124,277,0.675,119,138,Valid
124,733,0.636,136,123,Valid
125,150,0.709,133,142,Valid
125,614,0.739,127,142,Valid
126,142,0.731,113,132,Valid
126,638,0.685,125,130,Valid
127,134,0.649,122,108,Valid
127,622,0.678,117,114,Valid
128,94,0.658,129,124,Valid
128,614,0.628,120,115,Valid
129,94,0.648,120,100,Valid
129,550,0.67,127,112,Valid
130,102,0.657,108,123,Valid
130,614,0.632,125,118,Valid
131,62,0.63,129,113,Valid
131,526,0.66,131,115,Valid
132,14,0.764,115,148,Valid
132,502,0.72,131,137,Valid
132,998,0.684,122,118,Valid
133,470,0.726,117,124,Valid
134,6,0.732,113,131,Valid
134,511,0.727,120,120,Valid
134,951,0.758,131,148,Valid
135,455,0.689,131,115,Valid
135,919,0.747,120,119,Valid
136,383,0.828,125,141,Valid
136,879,0.795,127,134,Valid
137,383,0.774,119,133,Valid
137,839,0.792,127,135,Valid
138,327,0.834,125,129,Valid
138,855,0.868,107,134,Valid
139,383,0.815,122,129,Valid
139,863,0.8,125,137,Valid
140,327,0.78,127,120,Valid
140,823,0.878,115,127,Valid
141,319,0.819,122,132,Valid
141,855,0.791,115,112,Valid
142,375,0.847,110,126,Valid
142,919,0.798,113,131,Valid
143,448,0.738,115,109,Valid
143,960,0.806,117,113,Valid
144,440,0.869,119,137,Valid
144,968,0.794,120,133,Valid
145,464,0.793,120,135,Valid
145,968,0.901,110,132,Valid
146,480,0.863,122,132,Valid
147,8,0.895,110,140,Valid
147,520,0.857,122,126,Valid
148,48,0.828,111,114,Valid
148,576,0.84,108,116,Valid
149,144,0.798,108,115,Valid
149,688,0.78,111,105,Valid
150,200,0.826,111,117,Valid
150,728,0.774,119,117,Valid
151,256,0.781,113,117,Valid
151,752,0.769,119,113,Valid
152,297,0.783,108,112,Valid
152,841,0.794,111,117,Valid
153,361,0.787,115,113,Valid
153,873,0.794,119,118,Valid
154,401,0.801,111,115,Valid
154,937,0.79,111,117,Valid
155,505,0.807,104,115,Valid
156,33,0.813,115,121,Valid
156,585,0.835,107,116,Valid
157,121,0.789,117,100,Valid
157,601,0.793,120,116,Valid
158,145,0.741,113,109,Valid
158,657,0.754,115,109,Valid
159,193,0.797,107,109,Valid
159,737,0.77,115,108,Valid
160,241,0.76,117,116,Valid
160,769,0.768,117,109,Valid
161,273,0.768,117,110,Valid
161,801,0.75,115,109,Valid
162,298,0.759,120,111,Valid
162,810,0.753,117,101,Valid
163,282,0.741,122,112,Valid
164,330,0.782,55,142,Valid
165,378,0.816,58,96,Valid
165,842,0.811,120,107,Valid
166,346,0.784,122,119,Valid
166,906,0.743,115,105,Valid
167,426,0.726,113,103,Valid
167,930,0.723,117,103,Valid
168,458,0.754,111,108,Valid
168,994,0.736,113,118,Valid
169,554,0.736,108,108,Valid
170,82,0.794,110,104,Valid
170,594,0.821,117,113,Valid
171,147,0.84,108,124,Valid
171,691,0.729,115,109,Valid
172,267,0.781,100,99,Valid
172,811,0.834,107,116,Valid
173,347,0.816,119,121,Valid
173,803,0.809,129,128,Valid
174,299,0.795,122,123,Valid
174,795,0.83,117,138,Valid
175,315,0.808,115,116,Valid
175,835,0.814,119,116,Valid
176,355,0.742,115,91,Valid
176,891,0.788,107,146,Valid
177,427,0.779,115,132,Valid
177,939,0.772,119,119,Valid
178,443,0.807,117,113,Valid
178,947,0.82,115,112,Valid
179,491,0.779,113,125,Valid
180,27,0.739,113,122,Valid
180,516,0.781,120,129,Valid
180,996,0.854,122,139,Valid
181,500,0.854,120,133,Valid
182,28,0.864,111,129,Valid
182,556,0.84,115,140,Valid
183,84,0.793,113,107,Valid
183,580,0.801,120,137,Valid
184,132,0.752,111,99,Valid
184,620,0.834,115,128,Valid
185,156,0.805,117,129,Valid
185,668,0.805,117,122,Valid
186,148,0.807,125,127,Valid
186,692,0.904,104,152,Valid
187,188,0.963,120,170,Valid
187,732,0.894,113,149,Valid
188,276,0.86,111,110,Valid
188,780,0.92,113,133,Valid
189,301,0.891,117,136,Valid
189,853,0.876,111,133,Valid
190,349,0.893,117,138,Valid
190,869,0.937,115,149,Valid
191,397,0.897,117,134,Valid
191,909,0.9,113,132,Valid
192,445,0.866,111,110,Valid
192,973,0.85,111,119,Valid
193,541,0.873,107,126,Valid
194,101,0.854,108,126,Valid
194,613,0.817,119,114,Valid
195,101,0.849,120,125,Valid
195,629,0.86,111,130,Valid
196,173,0.842,111,120,Valid
196,717,0.883,108,130,Valid
197,261,0.878,110,132,Valid
197,749,0.834,131,129,Valid
198,229,0.896,119,139,Valid
198,709,0.883,127,134,Valid
